brand_name,entropy_21,entropy_22,asset_id_22,asset_id_21
Herbal Essences Hair,47,46,5,8
Aussie Hair US,45,51,32,5
Kenra US,69,54,24,12
Dry bar US,66,56,63,22
Head & Shoulders US,86,60,22,6
Pantene US,60,61,34,14
Native US,77,62,19,8
Living Proof US,63,62,75,24
Briogeo US,56,63,92,51
Clairol US,64,63,57,5
Moroccanoil,63,65,52,38
Dove Hair US,45,66,14,5
Amika US,62,68,22,45
L'Oreal Paris Hair US,59,68,8,11
OLAPLEX US,66,70,117,91
Wella US,72,71,35,20
Fanola US,67,72,11,28
Paul Mitchell US,71,77,20,27
