brand_name,social_media,number_of_assets_21,number_of_assets_22
Herbal Essences Hair,TikTok,12,10
Elvive,TikTok,20,12
Fanola US,TikTok,38,17
Dove Hair US,TikTok,9,27
Native US,TikTok,16,33
Kenra US,TikTok,27,42
Paul Mitchell US,TikTok,44,45
Aussie Hair US,TikTok,12,47
Amika US,TikTok,85,64
Head & Shoulders US,TikTok,15,72
Pantene US,TikTok,47,77
Clairol US,TikTok,9,78
Wella US,TikTok,58,90
Moroccanoil,TikTok,75,114
Living Proof US,TikTok,33,141
OLAPLEX US,TikTok,183,264
Briogeo US,TikTok,112,307
